Unnamed: 0.1,Unnamed: 0,Value
0,0,0
1,1,22
2,2,20
3,3,21
4,4,24
5,5,24
6,6,20
7,7,11
8,8,18
9,9,25
10,10,30
11,11,32
12,12,16
13,13,23
14,14,28
15,15,23
16,16,18
17,17,21
18,18,23
19,19,26
20,20,26
21,21,29
22,22,28
23,23,27
24,24,26
25,25,27
26,26,24
27,27,15
28,28,25
29,29,16
30,30,22
31,31,27
32,32,25
33,33,27
34,34,22
35,35,22
36,36,15
37,37,14
38,38,14
39,39,22
40,40,21
41,41,18
42,42,26
43,43,26
44,44,29
45,45,28
46,46,24
47,47,32
48,48,31
49,49,34
50,50,30
51,51,25
52,52,23
53,53,26
54,54,33
55,55,33
56,56,32
57,57,33
58,58,32
59,59,26
60,60,23
61,61,22
62,62,22
63,63,22
64,64,22
65,65,24
66,66,23
67,67,26
68,68,24
69,69,24
70,70,24
71,71,26
72,72,26
73,73,32
74,74,32
75,75,32
76,76,31
77,77,30
78,78,30
79,79,30
80,80,33
81,81,27
82,82,27
83,83,30
84,84,28
85,85,22
86,86,26
87,87,26
88,88,27
89,89,35
90,90,26
91,91,21
92,92,25
93,93,35
94,94,23
95,95,35
96,96,17
97,97,20
98,98,13
99,99,16
100,100,13
101,101,14
102,102,2
103,103,29
104,104,30
105,105,10
106,106,30
107,107,19
108,108,24
109,109,31
110,110,27
111,111,25
112,112,22
113,113,22
114,114,19
115,115,13
116,116,30
117,117,23
118,118,19
119,119,19
120,120,17
121,121,23
122,122,21
123,123,22
124,124,20
125,125,20
126,126,22
127,127,27
128,128,20
129,129,24
130,130,22
131,131,25
132,132,22
133,133,18
134,134,17
135,135,20
136,136,22
137,137,22
138,138,21
139,139,22
140,140,33
141,141,34
142,142,29
143,143,27
144,144,30
145,145,30
146,146,31
147,147,33
148,148,35
149,149,30
150,150,29
151,151,23
152,152,26
153,153,27
154,154,28
155,155,25
156,156,22
157,157,24
158,158,23
159,159,24
160,160,22
161,161,30
162,162,24
163,163,23
164,164,25
165,165,20
166,166,16
167,167,37
168,168,39
169,169,38
170,170,37
171,171,41
172,172,51
173,173,43
174,174,46
175,175,35
176,176,32
177,177,38
178,178,29
179,179,28
180,180,33
181,181,32
182,182,31
183,183,39
184,184,34
185,185,37
186,186,40
187,187,41
188,188,43
189,189,40
190,190,41
191,191,39
192,192,34
193,193,36
194,194,39
195,195,39
196,196,35
197,197,40
198,198,36
199,199,27
200,200,15
201,201,25
202,202,19
203,203,18
204,204,35
205,205,34
206,206,34
207,207,36
208,208,35
209,209,34
210,210,35
211,211,37
212,212,62
213,213,62
214,214,56
215,215,66
216,216,54
217,217,30
218,218,31
219,219,29
220,220,32
221,221,33
222,222,39
223,223,35
224,224,55
225,225,43
226,226,42
227,227,51
228,228,53
229,229,51
230,230,34
231,231,37
232,232,39
233,233,55
234,234,55
235,235,36
236,236,48
237,237,46
238,238,52
239,239,32
240,240,34
241,241,32
242,242,30
243,243,24
244,244,33
245,245,24
246,246,23
247,247,43
248,248,35
249,249,21
250,250,26
251,251,34
252,252,27
253,253,28
254,254,45
255,255,41
256,256,38
257,257,47
258,258,41
259,259,45
260,260,42
261,261,39
262,262,37
263,263,39
264,264,41
265,265,43
266,266,34
267,267,39
268,268,25
269,269,28
270,270,30
271,271,33
272,272,28
273,273,29
274,274,30
275,275,26
276,276,24
277,277,26
278,278,24
279,279,23
280,280,22
281,281,26
282,282,28
283,283,23
284,284,25
285,285,25
286,286,26
287,287,35
288,288,30
289,289,27
290,290,27
291,291,21
292,292,22
293,293,24
294,294,24
295,295,28
296,296,27
297,297,26
298,298,32
299,299,33
300,300,33
301,301,32
302,302,34
303,303,23
304,304,21
305,305,21
306,306,24
307,307,25
308,308,20
309,309,32
310,310,32
311,311,31
312,312,28
313,313,25
314,314,25
315,315,27
316,316,28
317,317,28
318,318,26
319,319,28
320,320,17
321,321,19
322,322,21
323,323,14
324,324,27
325,325,24
326,326,22
327,327,23
328,328,30
329,329,34
330,330,22
331,331,28
332,332,29
333,333,28
334,334,24
335,335,23
336,336,31
337,337,20
338,338,20
339,339,30
340,340,28
341,341,26
342,342,26
343,343,23
344,344,25
345,345,23
346,346,22
347,347,29
348,348,27
349,349,28
350,350,29
351,351,27
352,352,25
353,353,24
354,354,24
355,355,27
356,356,26
357,357,26
358,358,24
359,359,23
360,360,22
361,361,24
362,362,19
363,363,23
364,364,20
365,365,23
366,366,21
367,367,31
368,368,31
369,369,40
370,370,29
371,371,31
372,372,31
373,373,25
374,374,34
375,375,23
376,376,25
377,377,24
378,378,22
379,379,24
380,380,23
381,381,27
382,382,25
383,383,24
384,384,29
385,385,23
386,386,26
387,387,26
388,388,28
389,389,30
390,390,27
391,391,29
392,392,31
393,393,31
394,394,27
395,395,28
396,396,25
397,397,27
398,398,36
399,399,33
400,400,33
401,401,31
402,402,28
403,403,34
404,404,35
405,405,34
406,406,35
407,407,34
408,408,29
409,409,33
410,410,34
411,411,29
412,412,33
413,413,35
414,414,37
415,415,37
416,416,38
417,417,40
418,418,37
419,419,37
420,420,37
421,421,43
422,422,30
423,423,44
424,424,35
425,425,37
426,426,37
427,427,37
428,428,33
429,429,33
430,430,28
431,431,33
432,432,36
433,433,28
434,434,28
435,435,27
436,436,27
437,437,30
438,438,25
439,439,33
440,440,30
441,441,25
442,442,26
443,443,35
444,444,38
445,445,35
446,446,37
447,447,39
448,448,36
449,449,39
450,450,32
451,451,25
452,452,27
453,453,34
454,454,34
455,455,30
456,456,33
457,457,30
458,458,32
459,459,38
460,460,33
461,461,30
462,462,19
463,463,20
464,464,19
465,465,17
466,466,18
467,467,16
468,468,21
469,469,18
470,470,20
471,471,19
472,472,20
473,473,23
474,474,24
475,475,21
476,476,25
477,477,22
478,478,19
479,479,22
480,480,22
