,Value
0,0
1,12
2,7
3,7
4,12
5,10
6,6
7,3
8,7
9,9
10,14
11,19
12,5
13,13
14,16
15,13
16,9
17,11
18,13
19,12
20,14
21,15
22,16
23,14
24,12
25,12
26,11
27,5
28,15
29,6
30,7
31,13
32,11
33,13
34,9
35,7
36,8
37,7
38,7
39,12
40,12
41,9
42,10
43,11
44,13
45,11
46,8
47,16
48,15
49,16
50,14
51,10
52,9
53,11
54,15
55,16
56,15
57,16
58,16
59,11
60,9
61,8
62,8
63,9
64,8
65,9
66,9
67,12
68,11
69,10
70,9
71,12
72,12
73,16
74,16
75,16
76,15
77,15
78,15
79,14
80,17
81,12
82,12
83,14
84,14
85,10
86,10
87,13
88,14
89,19
90,14
91,9
92,10
93,19
94,12
95,20
96,7
97,9
98,6
99,8
100,6
101,6
102,0
103,16
104,16
105,4
106,16
107,8
108,8
109,12
110,10
111,13
112,9
113,9
114,8
115,6
116,14
117,11
118,9
119,10
120,8
121,8
122,9
123,8
124,8
125,7
126,8
127,13
128,7
129,9
130,7
131,10
132,8
133,6
134,5
135,7
136,9
137,9
138,8
139,9
140,15
141,16
142,12
143,11
144,13
145,12
146,14
147,15
148,17
149,13
150,11
151,6
152,9
153,11
154,13
155,10
156,8
157,9
158,9
159,10
160,8
161,14
162,9
163,9
164,10
165,11
166,8
167,14
168,19
169,17
170,17
171,18
172,24
173,19
174,21
175,19
176,11
177,17
178,13
179,9
180,14
181,13
182,12
183,19
184,14
185,17
186,19
187,21
188,21
189,18
190,19
191,20
192,16
193,17
194,19
195,19
196,16
197,19
198,15
199,8
200,6
201,10
202,8
203,7
204,16
205,15
206,17
207,18
208,18
209,16
210,17
211,19
212,32
213,31
214,29
215,35
216,27
217,10
218,9
219,10
220,14
221,11
222,18
223,15
224,23
225,18
226,17
227,20
228,23
229,26
230,15
231,17
232,17
233,29
234,29
235,12
236,24
237,23
238,29
239,13
240,12
241,10
242,11
243,10
244,17
245,10
246,9
247,24
248,16
249,7
250,11
251,18
252,11
253,13
254,25
255,23
256,20
257,27
258,22
259,26
260,22
261,19
262,18
263,21
264,21
265,23
266,15
267,20
268,13
269,14
270,17
271,19
272,14
273,15
274,16
275,12
276,9
277,11
278,12
279,10
280,9
281,13
282,13
283,10
284,11
285,11
286,10
287,19
288,13
289,11
290,11
291,7
292,10
293,12
294,11
295,14
296,13
297,11
298,15
299,16
300,15
301,16
302,17
303,11
304,10
305,9
306,11
307,12
308,8
309,16
310,18
311,16
312,11
313,10
314,10
315,11
316,11
317,14
318,11
319,13
320,6
321,6
322,6
323,3
324,10
325,9
326,8
327,8
328,14
329,17
330,7
331,12
332,13
333,12
334,9
335,9
336,15
337,7
338,5
339,13
340,13
341,13
342,12
343,9
344,10
345,8
346,7
347,13
348,13
349,13
350,14
351,13
352,11
353,10
354,10
355,13
356,11
357,11
358,12
359,9
360,10
361,12
362,8
363,9
364,8
365,9
366,8
367,14
368,13
369,21
370,13
371,12
372,15
373,11
374,18
375,7
376,9
377,8
378,6
379,9
380,9
381,13
382,11
383,10
384,14
385,8
386,12
387,11
388,13
389,14
390,12
391,14
392,15
393,16
394,10
395,11
396,9
397,12
398,18
399,15
400,16
401,14
402,12
403,17
404,17
405,16
406,17
407,15
408,9
409,15
410,16
411,10
412,15
413,18
414,18
415,18
416,19
417,21
418,18
419,18
420,17
421,21
422,15
423,23
424,14
425,19
426,18
427,16
428,12
429,14
430,10
431,13
432,17
433,10
434,12
435,11
436,11
437,12
438,8
439,15
440,12
441,8
442,10
443,17
444,19
